rowID	treatment	treatcode	response	responselog2	clustscen1	clustscen2	clustscen3	clustscen4	clustscen5	clustscen1code	clustscen2code	clustscen3code	clustscen4code	clustscen5code	meancage_sc1	meancagelog_sc1	meancage_sc2	meancagelog_sc2	meancage_sc3	meancagelog_sc3	meancage_sc4	meancagelog_sc4	meancage_sc5	meancagelog_sc5	aweight_1	aweight_2	aweight_3	aweight_4	aweight_5
2	chow	1	2300	11.17	cage1	cage5	cage10	cage13	cage17	1	5	10	13	17	1725	10.66	1010	9.36	1933.333	10.84667	1520	10.418	1933.33	10.84667	4	4	3	5	3
4	chow	1	1100	10.1	cage1	cage5	cage9	cage13	cage18	1	5	9	13	18	1725	10.66	1010	9.36	573	8.89	1520	10.418	573	8.89	4	4	5	5	5
1	chow	1	2350	11.2	cage1	cage6	cage10	cage13	cage17	1	6	10	13	17	1725	10.66	1156.25	9.89	1933.333	10.84667	1520	10.418	1933.33	10.84667	4	4	3	5	3
3	chow	1	1150	10.17	cage1	cage6	cage10	cage13	cage17	1	6	10	13	17	1725	10.66	1156.25	9.89	1933.333	10.84667	1520	10.418	1933.33	10.84667	4	4	3	5	3
6	chow	1	490	8.94	cage2	cage5	cage9	cage14	cage18	2	5	9	14	18	441.25	8.5875	1010	9.36	573	8.89	355	8.3	573	8.89	4	4	5	3	5
8	chow	1	150	7.23	cage2	cage5	cage9	cage14	cage18	2	5	9	14	18	441.25	8.5875	1010	9.36	573	8.89	355	8.3	573	8.89	4	4	5	3	5
5	chow	1	700	9.45	cage2	cage6	cage9	cage13	cage18	2	6	9	13	18	441.25	8.5875	1156.25	9.89	573	8.89	1520	10.418	573	8.89	4	4	5	5	5
7	chow	1	425	8.73	cage2	cage6	cage9	cage14	cage18	2	6	9	14	18	441.25	8.5875	1156.25	9.89	573	8.89	355	8.3	573	8.89	4	4	5	3	5
9	wsd	2	1250	10.29	cage3	cage7	cage12	cage15	cage19	3	7	12	15	19	700	9.2225	438	8.25	700	9.2225	700	9.2225	700	9.2225	4	5	5	4	4
11	wsd	2	400	8.64	cage3	cage7	cage12	cage15	cage19	3	7	12	15	19	700	9.2225	438	8.25	700	9.2225	700	9.2225	700	9.2225	4	5	5	4	4
10	wsd	2	850	9.73	cage3	cage8	cage12	cage15	cage19	3	8	12	15	19	700	9.2225	372.5	8.19	700	9.2225	700	9.2225	700	9.2225	4	4	4	4	4
12	wsd	2	300	8.23	cage3	cage8	cage12	cage15	cage19	3	8	12	15	19	700	9.2225	372.5	8.19	700	9.2225	700	9.2225	700	9.2225	4	4	4	4	4
13	wsd	2	250	7.97	cage4	cage7	cage11	cage16	cage19	4	7	11	16	19	176	7.422	438	8.25	176	7.422	176	7.422	176	7.422	5	5	5	5	5
17	wsd	2	160	7.32	cage4	cage7	cage11	cage16	cage20	4	7	11	16	20	176	7.422	438	8.25	176	7.422	176	7.422	176	7.422	5	5	5	5	5
16	wsd	2	130	7.02	cage4	cage7	cage11	cage16	cage20	4	7	11	16	20	176	7.422	438	8.25	176	7.422	176	7.422	176	7.422	5	5	5	5	5
14	wsd	2	190	7.57	cage4	cage8	cage11	cage16	cage20	4	8	11	16	20	176	7.422	372.5	8.19	176	7.422	176	7.422	176	7.422	5	4	4	5	5
15	wsd	2	150	7.23	cage4	cage8	cage11	cage16	cage20	4	8	11	16	20	176	7.422	372.5	8.19	176	7.422	176	7.422	176	7.422	5	4	4	5	5
